,Month,mIR
0,2002-01,-0.0014
1,2002-02,0.0009
2,2002-03,0.0083
3,2002-04,0.0136
4,2002-05,0.0036
5,2002-06,0.0001
6,2002-07,-0.0069
7,2002-08,0.0029
8,2002-09,0.0037
9,2002-10,0.0099
10,2002-11,0.0016
11,2002-12,0.0033
12,2003-01,-0.0041
13,2003-02,0.0021
14,2003-03,0.0069
15,2003-04,0.0081
16,2003-05,-0.0009
17,2003-06,0.0007
18,2003-07,-0.0063
19,2003-08,0.0046
20,2003-09,0.003
21,2003-10,0.0067
22,2003-11,0.0033
23,2003-12,0.0017
24,2004-01,-0.006999999999999999
25,2004-02,0.0005
26,2004-03,0.006999999999999999
27,2004-04,0.0137
28,2004-05,0.0059
29,2004-06,0.0016
30,2004-07,-0.0076
31,2004-08,0.0044
32,2004-09,0.0018
33,2004-10,0.0103
34,2004-11,0.0025
35,2004-12,-0.001
36,2005-01,-0.0084
37,2005-02,0.0026
38,2005-03,0.0079
39,2005-04,0.0144
40,2005-05,0.0019
41,2005-06,0.0023
42,2005-07,-0.0061
43,2005-08,0.0044
44,2005-09,0.0061
45,2005-10,0.0081
46,2005-11,0.0015
47,2005-12,0.0021
48,2006-01,-0.0041
49,2006-02,0.0005
50,2006-03,0.0071
51,2006-04,0.0141
52,2006-05,0.0036
53,2006-06,0.0015
54,2006-07,-0.0059
55,2006-08,0.002
56,2006-09,-0.0016
57,2006-10,0.0041
58,2006-11,0.0025
59,2006-12,0.0027
60,2007-01,-0.0067
61,2007-02,0.0007
62,2007-03,0.0076
63,2007-04,0.0138
64,2007-05,0.0028
65,2007-06,0.0018
66,2007-07,-0.0073
67,2007-08,0.0014
68,2007-09,0.0033
69,2007-10,0.013000000000000001
70,2007-11,0.0072
71,2007-12,0.0042
72,2008-01,-0.0062
73,2008-02,0.0016
74,2008-03,0.0089
75,2008-04,0.0108
76,2008-05,0.0068
77,2008-06,0.0058
78,2008-07,-0.0048
79,2008-08,-0.0021
80,2008-09,-0.0002
81,2008-10,0.0034
82,2008-11,-0.0042
83,2008-12,-0.0051
84,2009-01,-0.0123
85,2009-02,0.0001
86,2009-03,0.0016
87,2009-04,0.0098
88,2009-05,-0.0003
89,2009-06,0.0044
90,2009-07,-0.0085
91,2009-08,0.0035
92,2009-09,-0.0024
93,2009-10,0.0071
94,2009-11,0.0054
95,2009-12,-0.0003
96,2010-01,-0.01
97,2010-02,-0.0018
98,2010-03,0.0074
99,2010-04,0.0107
100,2010-05,0.0022
101,2010-06,0.0018
102,2010-07,-0.0045
103,2010-08,0.0025
104,2010-09,0.0007
105,2010-10,0.0091
106,2010-11,0.0054
107,2010-12,0.0062
108,2011-01,-0.0073
109,2011-02,0.0013
110,2011-03,0.0075
111,2011-04,0.0124
112,2011-05,-0.0003
113,2011-06,-0.0014
114,2011-07,-0.0054
115,2011-08,0.0012
116,2011-09,0.0024
117,2011-10,0.0079
118,2011-11,0.0041
119,2011-12,0.0013
120,2012-01,-0.011000000000000001
121,2012-02,0.001
122,2012-03,0.0067
123,2012-04,0.013999999999999999
124,2012-05,-0.0015
125,2012-06,-0.0019
126,2012-07,-0.0023
127,2012-08,0.0056
128,2012-09,0.0098
129,2012-10,0.0085
130,2012-11,-0.0012
131,2012-12,0.0007
132,2013-01,-0.0128
133,2013-02,0.0017
134,2013-03,0.0035
135,2013-04,0.0037
136,2013-05,0.0018
137,2013-06,0.0015
138,2013-07,-0.0052
139,2013-08,0.0031
140,2013-09,-0.0019
141,2013-10,0.0041
142,2013-11,0.0021
143,2013-12,0.0009
144,2014-01,-0.0133
145,2014-02,-0.0004
146,2014-03,0.0022
147,2014-04,0.0089
148,2014-05,0.0002
149,2014-06,0.0003
150,2014-07,-0.0094
151,2014-08,0.0016
152,2014-09,0.0015
153,2014-10,0.0047
154,2014-11,-0.0007
155,2014-12,-0.0058
156,2015-01,-0.0161
157,2015-02,0.002
158,2015-03,0.0064
159,2015-04,0.0092
160,2015-05,0.0048
161,2015-06,0.0027
162,2015-07,-0.0093
163,2015-08,-0.0033
164,2015-09,-0.0031
165,2015-10,0.0064
166,2015-11,0.0037
167,2015-12,-0.0029
168,2016-01,-0.0191
169,2016-02,-0.0035
170,2016-03,0.0064
171,2016-04,0.006999999999999999
172,2016-05,0.0055
173,2016-06,0.0046
174,2016-07,-0.0073
175,2016-08,0.0013
176,2016-09,0.0001
177,2016-10,0.0114
178,2016-11,0.0036
179,2016-12,0.0059
180,2017-01,-0.0055
181,2017-02,-0.0036
182,2017-03,-0.0002
183,2017-04,0.0096
184,2017-05,-0.0006
185,2017-06,0.0004
186,2017-07,-0.0069
187,2017-08,0.002
188,2017-09,0.0017
189,2017-10,0.0092
190,2017-11,0.0046
191,2017-12,0.0005
192,2018-01,-0.0108
193,2018-02,0.0013
194,2018-03,0.0012
195,2018-04,0.0083
196,2018-05,0.009000000000000001
197,2018-06,0.0026
198,2018-07,-0.0072
199,2018-08,0.0014
200,2018-09,0.0024
201,2018-10,0.0092
202,2018-11,-0.0011
203,2018-12,-0.0045
204,2019-01,-0.0128
205,2019-02,0.0024
206,2019-03,0.0036
